Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Dependents,Total_Food,Length_customer_yrs,Tot_Num_Purchases
PhD,Couple,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,CA,55,0,1482,9.33,22.0
Master,Couple,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,SA,48,2,497,9.48,16.0
Graduation,Couple,18227.0,1,0,21,1,2,7,4,3,11,1,0,1,2,8,0,0,0,0,0,0,0,SP,35,1,17,9.68,3.0
Graduation,Couple,65991.0,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,SP,46,1,962,9.85,24.0
Graduation,Single,38808.0,1,0,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,1,0,SP,50,1,216,9.89,10.0
PhD,Couple,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,US,40,0,1713,9.95,29.0
Master,Couple,43783.0,1,0,22,327,9,125,25,4,139,6,7,1,8,7,1,0,0,0,0,0,0,CA,44,1,490,8.13,16.0
PhD,Couple,30396.0,1,0,22,15,0,6,0,1,12,2,1,1,2,7,1,0,0,0,0,1,0,SP,53,1,22,8.21,4.0
PhD,Couple,65526.0,0,1,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0,SP,58,1,497,8.26,16.0
PhD,Couple,65526.0,0,1,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0,SA,58,1,497,8.26,16.0
Graduation,Couple,55956.0,0,0,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,SP,78,0,961,8.27,14.0
Graduation,Divorced,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,SP,44,1,41,8.28,5.0
PhD,Couple,57236.0,1,1,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0,SP,57,2,117,8.35,7.0
Graduation,Divorced,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,AUS,49,2,1430,8.77,11.0
Master,Couple,57420.0,0,1,22,280,0,18,0,0,24,3,5,1,6,7,0,1,0,0,0,0,0,US,51,1,298,9.06,12.0
Graduation,Couple,33622.0,1,1,22,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,0,GER,50,2,69,9.26,6.0
PhD,Single,29999.0,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,SP,36,1,149,9.42,8.0
PhD,Couple,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,SP,60,1,151,9.61,8.0
PhD,Couple,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,SA,60,1,151,9.61,8.0
PhD,Single,36802.0,1,0,23,16,1,2,0,0,1,1,1,0,3,5,0,0,0,0,0,0,0,SP,42,1,19,8.08,4.0
Graduation,Divorced,61671.0,0,1,23,641,7,56,0,0,28,8,10,4,6,8,0,1,0,1,0,0,0,SP,54,1,704,8.12,20.0
2n Cycle,Single,60182.0,0,1,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0,SA,129,1,20,8.16,3.0
PhD,Couple,29732.0,1,0,23,25,0,8,0,1,4,1,2,0,2,9,0,0,0,0,0,0,0,CA,51,1,34,8.31,4.0
PhD,Couple,45921.0,0,0,23,102,9,49,24,3,12,1,2,1,6,4,0,0,0,0,0,0,0,SA,36,0,187,8.35,9.0
Graduation,Couple,16529.0,1,0,23,3,0,5,13,0,1,1,1,0,3,6,0,0,0,0,0,0,0,CA,38,1,21,8.38,4.0
Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,SP,62,0,1970,8.41,19.0
Master,Couple,77027.0,0,1,23,820,57,242,45,0,11,2,8,3,6,4,0,0,0,0,0,0,0,SP,70,1,1164,8.44,17.0
Graduation,Couple,69139.0,0,1,23,86,12,75,33,15,6,1,4,1,5,4,0,0,0,0,0,0,0,SP,57,1,221,8.47,10.0
Graduation,Couple,69139.0,0,1,23,86,12,75,33,15,6,1,4,1,5,4,0,0,0,0,0,0,0,SA,57,1,221,8.47,10.0
Graduation,Couple,65169.0,0,0,23,1074,0,69,0,0,46,1,10,4,13,6,1,0,1,1,1,1,0,SP,40,0,1143,8.5,27.0
Graduation,Widow,40049.0,0,1,23,13,6,7,0,3,3,1,1,0,3,6,0,0,0,0,0,0,0,SP,70,1,29,8.75,4.0
Graduation,Couple,69755.0,0,0,23,217,77,373,111,23,93,1,3,6,12,1,0,0,0,0,0,0,0,SA,77,0,801,8.79,21.0
PhD,Couple,51411.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,CA,61,1,389,9.01,14.0
PhD,Couple,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,SP,61,1,389,9.01,14.0
Graduation,Single,60689.0,0,1,23,240,90,216,63,6,24,4,4,4,10,3,0,0,0,0,0,0,0,US,71,1,615,9.12,18.0
Basic,Single,26487.0,1,0,23,2,8,10,12,14,23,3,2,1,3,5,0,0,0,0,0,0,0,CA,44,1,46,9.16,6.0
Graduation,Couple,28164.0,1,0,23,3,18,26,11,8,12,3,2,0,4,7,0,0,0,0,0,0,0,GER,52,1,66,9.2,6.0
Graduation,Single,22585.0,0,0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,1,0,SP,52,0,42,9.33,4.0
Graduation,Couple,64795.0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,SP,51,1,603,9.49,18.0
PhD,Single,42000.0,0,0,23,124,83,267,85,59,35,2,5,2,11,5,0,0,0,0,0,1,0,SP,35,0,618,9.51,18.0
PhD,Single,42000.0,0,0,23,124,83,267,85,59,35,2,5,2,11,5,0,0,0,0,0,1,0,AUS,35,0,618,9.51,18.0
Graduation,Couple,70713.0,0,1,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,0,SP,56,1,1287,9.62,19.0
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,0,US,76,0,1270,9.64,25.0
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,0,SA,76,0,1270,9.64,25.0
Basic,Couple,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,SP,47,1,34,9.72,4.0
Master,Couple,83891.0,0,1,24,217,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,0,SP,48,1,801,8.07,21.0
Master,Divorced,38054.0,1,1,24,23,2,17,2,1,0,2,2,0,3,7,0,0,0,0,0,0,0,IND,72,2,45,8.21,5.0
Graduation,Couple,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,53,1,19,8.47,4.0
PhD,Couple,44155.0,1,1,24,22,1,9,0,0,14,1,1,1,2,4,0,0,0,0,0,0,0,SP,65,2,32,8.49,4.0
PhD,Single,57642.0,0,1,24,580,6,58,8,0,27,3,7,6,6,4,1,0,0,0,0,0,0,IND,52,1,652,8.52,19.0
Graduation,Couple,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,IND,45,2,24,8.55,4.0
Graduation,Couple,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,1,0,SA,45,2,24,8.55,4.0
Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,AUS,54,1,182,8.55,9.0
Master,Divorced,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,US,54,1,182,8.55,9.0
PhD,Single,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,SA,65,3,15,8.6,3.0
2n Cycle,Couple,19789.0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,SP,47,1,50,8.65,6.0
PhD,Divorced,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,AUS,73,2,11,8.8,3.0
Master,Couple,36262.0,0,0,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,1,0,SP,39,0,273,8.82,11.0
Master,Widow,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,SA,68,1,219,8.87,10.0
Graduation,Couple,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,SP,63,0,702,8.9,16.0
Graduation,Couple,57957.0,0,1,24,290,59,177,77,5,29,7,4,6,8,3,0,0,0,0,0,0,1,CA,63,1,608,8.91,18.0
2n Cycle,Couple,50334.0,0,1,24,284,16,160,84,16,134,6,7,4,6,6,0,0,0,0,0,0,0,SA,50,1,560,8.98,17.0
Master,Couple,48150.0,0,1,24,173,2,39,3,2,47,3,5,1,4,7,0,0,0,0,0,0,0,GER,73,1,219,9.1,10.0
Graduation,Couple,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,SP,53,1,964,9.41,24.0
Graduation,Couple,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,AUS,53,1,964,9.41,24.0
PhD,Widow,52278.0,0,1,24,953,0,71,0,0,174,6,10,5,10,8,0,0,0,0,0,1,0,SA,59,1,1024,9.47,25.0
PhD,Widow,52278.0,0,1,24,953,0,71,0,0,174,6,10,5,10,8,0,0,0,0,0,0,0,SP,59,1,1024,9.47,25.0
2n Cycle,Couple,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,0,AUS,26,0,72,9.68,7.0
Master,Couple,33444.0,1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,SP,70,2,16,9.7,3.0
Graduation,Couple,20895.0,1,0,24,18,3,17,3,0,4,1,2,0,3,9,0,0,0,0,0,0,0,AUS,49,1,41,9.78,5.0
Master,Couple,37509.0,1,0,24,37,5,56,12,8,5,2,3,0,4,7,0,0,0,0,0,0,0,GER,46,1,118,9.84,7.0
Master,Couple,88097.0,1,0,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,1,0,SP,44,1,769,9.91,19.0
Graduation,Couple,59041.0,1,1,25,69,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0,0,SA,49,2,90,8.19,6.0
Graduation,Single,43322.0,0,0,25,56,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,0,IND,48,0,123,8.24,7.0
PhD,Couple,46015.0,1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,SA,67,2,40,8.26,4.0
PhD,Couple,46015.0,1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,CA,67,2,40,8.26,4.0
Master,Couple,34242.0,0,1,25,8,2,4,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,SP,63,1,14,8.32,3.0
Graduation,Couple,65210.0,0,1,25,626,0,70,0,7,28,2,9,3,8,6,0,1,0,1,0,0,0,CA,67,1,703,8.35,20.0
PhD,Widow,50520.0,0,1,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,SP,64,1,121,8.46,7.0
Graduation,Couple,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,CA,52,0,1691,8.47,15.0
Graduation,Couple,80589.0,0,0,25,507,93,520,242,40,26,1,5,10,5,1,0,0,0,1,0,1,0,AUS,78,0,1402,8.48,20.0
Master,Couple,49572.0,1,1,25,35,1,16,0,1,1,2,2,0,3,7,0,0,0,0,0,0,0,CA,64,2,53,8.58,5.0
Graduation,Couple,75437.0,0,0,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0,0,SP,44,0,1493,8.68,22.0
Master,Divorced,44635.0,1,1,25,56,0,9,0,0,3,2,2,0,3,7,0,0,0,0,0,0,0,SP,51,2,65,8.76,5.0
Graduation,Couple,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,GER,58,1,1019,8.82,15.0
PhD,Single,62000.0,0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,SP,70,1,1000,8.89,25.0
Graduation,Single,54252.0,1,1,25,178,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,0,AUS,66,2,220,9.13,10.0
PhD,Couple,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,SP,48,1,17,9.17,3.0
Graduation,Single,60474.0,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,IND,43,1,1010,9.29,24.0
Graduation,Single,60474.0,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,CA,43,1,1010,9.29,24.0
2n Cycle,Couple,56337.0,1,1,25,349,16,144,28,5,182,5,8,5,4,8,1,0,0,1,0,1,0,SP,41,2,542,9.3,17.0
Graduation,Couple,22434.0,1,0,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0,0,0,0,0,SP,35,1,43,9.42,5.0
Graduation,Couple,61416.0,0,0,25,848,154,323,201,61,78,1,10,3,10,6,1,0,0,0,0,0,0,US,40,0,1587,9.43,23.0
Master,Couple,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,1,0,SP,47,0,2066,9.59,21.0
Master,Couple,58656.0,0,1,25,962,12,194,16,24,12,4,7,8,13,6,0,0,1,0,0,0,0,SP,66,1,1208,9.82,28.0
2n Cycle,Couple,51411.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,GER,49,1,92,9.84,6.0
Basic,Single,8940.0,1,0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,SP,36,1,59,9.9,7.0
Graduation,Couple,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,SP,48,2,10,8.15,3.0
Graduation,Couple,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,US,44,2,591,8.35,18.0
Graduation,Couple,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,US,38,1,48,8.43,6.0
Graduation,Divorced,19346.0,1,0,26,2,0,9,3,6,2,1,1,0,3,8,0,0,0,0,0,0,0,CA,48,1,20,8.46,4.0
Graduation,Single,56243.0,1,2,26,347,0,35,4,3,7,6,4,2,8,5,0,0,0,0,0,0,0,US,47,3,389,8.54,14.0
PhD,Couple,59892.0,0,1,26,73,0,13,0,1,0,1,2,1,3,3,0,0,0,0,0,0,0,CA,52,1,87,8.7,6.0
Graduation,Couple,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,US,57,0,734,8.9,20.0
Graduation,Couple,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,AUS,36,1,12,9.01,3.0
Graduation,Single,42160.0,1,1,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,1,0,SP,47,2,120,9.05,7.0
Basic,Single,15862.0,1,0,26,1,1,4,11,9,10,1,1,0,3,8,0,0,0,0,0,0,0,SP,43,1,26,9.05,4.0
Master,Couple,82584.0,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,0,SP,48,0,1367,9.12,15.0
Graduation,Couple,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,AUS,33,1,121,9.13,7.0
PhD,Couple,75283.0,1,2,26,733,9,180,12,19,66,11,6,3,5,4,0,0,0,0,0,0,0,SA,65,3,953,9.3,14.0
Master,Couple,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,AUS,66,2,73,9.36,6.0
Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,AUS,70,1,715,9.41,20.0
Master,Couple,90226.0,0,0,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,0,SA,66,0,2244,9.8,23.0
Graduation,Couple,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,SP,48,1,263,9.84,11.0
Graduation,Couple,43586.0,0,1,26,99,2,11,4,0,16,3,3,0,4,8,0,0,0,0,0,0,0,GER,42,1,116,9.88,7.0
Graduation,Single,32233.0,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,1,0,SP,48,1,224,9.91,10.0
Graduation,Couple,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,AUS,53,1,1241,9.93,18.0
Master,Couple,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,CA,59,1,548,8.06,17.0
2n Cycle,Couple,75774.0,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SA,41,1,767,8.21,20.0
2n Cycle,Couple,75774.0,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SP,41,1,767,8.21,20.0
Master,Single,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,1,0,US,34,0,1605,8.21,14.0
2n Cycle,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,1,0,SP,62,0,63,8.41,6.0
Graduation,Couple,84219.0,0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,SA,34,0,1153,8.45,17.0
Graduation,Couple,84219.0,0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,CA,34,0,1153,8.45,17.0
Graduation,Divorced,48877.0,0,1,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0,SP,56,1,120,8.53,7.0
Graduation,Couple,60905.0,0,1,27,208,17,76,36,17,38,2,3,3,7,2,0,0,0,0,0,0,0,US,72,1,354,8.61,13.0
Graduation,Couple,75236.0,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,SP,58,1,954,8.64,24.0
Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,IND,69,0,394,8.66,17.0
PhD,Couple,70123.0,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,IND,39,0,1727,8.8,16.0
Graduation,Single,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,CA,60,2,87,8.85,6.0
2n Cycle,Couple,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,SP,52,0,47,8.95,6.0
PhD,Couple,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,SP,52,1,259,8.96,11.0
PhD,Couple,87171.0,0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,SP,41,0,1254,9.21,24.0
Graduation,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,SP,61,1,38,9.4,4.0
Graduation,Single,20180.0,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,SP,46,0,119,9.4,7.0
Graduation,Divorced,55686.0,0,1,27,673,0,199,37,47,26,2,6,3,5,4,1,0,0,0,0,0,0,SP,56,1,956,9.42,14.0
2n Cycle,Couple,26887.0,0,1,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,0,SP,63,1,24,9.43,4.0
PhD,Couple,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,1,0,SP,45,1,1206,9.45,18.0
Graduation,Divorced,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,SA,70,1,1011,9.6,15.0
Graduation,Couple,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,SP,60,0,1699,9.66,15.0
Master,Couple,30538.0,1,0,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,0,SP,51,1,347,9.79,13.0
2n Cycle,Single,61618.0,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,IND,31,0,1140,9.79,17.0
Graduation,Couple,77343.0,0,0,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0,0,CA,57,0,1103,8.1,16.0
Graduation,Couple,75433.0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,SP,33,1,1131,8.28,17.0
PhD,Widow,82571.0,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,SP,60,0,1607,8.29,24.0
Master,Couple,60033.0,0,1,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,SP,68,1,150,8.3,8.0
Graduation,Single,39062.0,1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,0,SP,39,1,32,8.31,4.0
Graduation,Couple,30023.0,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,SP,50,1,40,8.31,5.0
Graduation,Single,30015.0,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,SP,52,1,52,8.45,5.0
Graduation,Couple,33228.0,1,0,28,22,2,31,7,4,5,1,2,0,3,7,0,0,0,0,0,0,0,SP,42,1,66,8.48,5.0
Graduation,Couple,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,SP,55,3,35,8.72,5.0
Graduation,Couple,55267.0,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,0,CA,65,1,360,8.73,13.0
Graduation,Couple,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,SP,64,1,453,8.83,15.0
Graduation,Single,72258.0,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,CA,51,1,1391,8.84,20.0
PhD,Single,82733.0,0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,1,0,SP,38,0,1285,8.85,19.0
Graduation,Divorced,45146.0,1,1,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,0,IND,59,2,38,9.0,4.0
2n Cycle,Single,51250.0,1,0,28,342,32,230,34,32,40,5,10,5,4,9,1,0,0,0,0,0,0,SA,32,1,670,9.3,19.0
Graduation,Couple,32871.0,1,1,28,22,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,0,US,71,2,38,9.35,4.0
2n Cycle,Couple,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,GER,44,0,917,9.43,23.0
PhD,Divorced,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,1,0,CA,54,1,615,9.53,18.0
2n Cycle,Couple,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,CA,50,1,338,9.59,13.0
Graduation,Couple,50437.0,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,SP,59,2,486,9.75,16.0
Graduation,Couple,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,1,0,SP,62,1,1808,9.82,27.0
Graduation,Single,37774.0,2,0,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,SP,45,2,297,9.87,12.0
PhD,Couple,4023.0,1,1,29,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,0,SP,59,2,8,8.06,4.0
Graduation,Single,33279.0,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,SP,56,0,16,8.09,3.0
Graduation,Couple,42693.0,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,SP,44,1,41,8.11,4.0
Master,Couple,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,AUS,70,1,313,8.12,12.0
Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,AUS,65,1,493,8.18,16.0
Master,Couple,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,SA,41,0,803,8.21,11.0
Graduation,Couple,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,US,62,0,970,8.27,27.0
Graduation,Couple,77226.0,0,1,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0,SP,59,1,1117,8.38,26.0
Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,SP,31,0,2429,8.42,17.0
Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,SA,31,0,2429,8.42,17.0
Graduation,Couple,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,AUS,74,0,1046,8.61,15.0
2n Cycle,Divorced,59052.0,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,SA,63,1,460,8.66,15.0
Basic,Couple,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,US,70,0,19,8.7,4.0
Graduation,Divorced,49160.0,0,1,29,122,21,43,25,10,15,2,3,1,6,6,0,0,0,0,0,0,0,SP,73,1,221,8.74,10.0
Graduation,Divorced,23272.0,0,0,29,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,SP,69,0,34,8.75,4.0
Master,Divorced,49476.0,0,1,29,386,23,95,54,41,196,4,2,11,5,2,0,0,0,0,0,0,0,CA,59,1,599,9.07,18.0
Master,Couple,62694.0,1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,0,SP,57,2,658,9.08,19.0
PhD,Couple,57906.0,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,IND,49,1,386,9.1,14.0
Graduation,Couple,71853.0,0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,SP,40,0,1117,9.19,16.0
Graduation,Couple,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,GER,63,1,777,9.33,26.0
Graduation,Couple,30507.0,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,SP,62,0,233,9.35,10.0
Graduation,Couple,67419.0,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,0,CA,52,1,1429,9.5,21.0
Graduation,Couple,59462.0,0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,0,US,72,1,892,9.53,23.0
Graduation,Single,95529.0,0,0,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,1,0,SA,28,0,1966,9.62,17.0
Graduation,Widow,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,SP,69,0,1102,9.69,26.0
